responseID,responseID,ID,fluency,clean_response,elaboration,flexibility,originality,z_elaboration,z_flexibility,z_originality
347,347,0Wv0i16N,9,use glass jar sound scare cat,6.0,0.7347028596470608,0.9413288834530771,1.7535684099886764,-0.5010692380543623,-0.020321332509844362
247,247,0Wv0i16N,9,play marbles,2.0,0.6546357651470381,0.9319429394341334,-0.5918465032929675,-1.1460459489569337,-0.12431166878207237
74,74,0Wv0i16N,9,tie key chain,3.0,0.930954217092153,0.9320065062775102,-0.005492774972556549,1.0798243340867437,-0.1236073882744134
305,305,0Wv0i16N,9,tap tie fold corner tie cord,6.0,0.8793855966071835,0.9429536469125979,1.7535684099886764,0.664415739159284,-0.0023199787645648987
94,94,0Wv0i16N,9,drop clear thing water use fullness gauge,7.0,0.8606440832258142,0.8930439005616105,2.3399221383090874,0.5134443602984127,-0.5552884703542793
290,290,0Wv0i16N,9,rifle projectile,2.0,0.9309058448139308,1.0021070380266104,-0.5918465032929675,1.0794346734764588,0.6530622631466854
226,226,0Wv0i16N,9,toss toy race track place toy cars,7.0,0.8912243517789014,0.8994405083540217,2.3399221383090874,0.7597822741823977,-0.48441809290563437
39,39,0Wv0i16N,9,candle fillers,2.0,0.7260037424602802,0.9138955849050401,-0.5918465032929675,-0.571144567075877,-0.32426496730129284
153,153,0Wv0i16N,9,decoration terrarium,2.0,0.6734678932746296,0.9423172874431974,-0.5918465032929675,-0.994344627273201,-0.009370440079847263
128,128,0Wv0i16N,9,candle holder fillers,3.0,0.7566265258777161,1.002006510643158,-0.005492774972556549,-0.32446417670335037,0.6519484831807396
202,202,1iCU2QmW,5,attached stick massager,3.0,0.8069030726402107,0.979005505929793,-0.005492774972556549,0.08053617917198234,0.3971118668622972
285,285,1iCU2QmW,5,prism,1.0,0.9031235279365541,0.9763708080353235,-1.1782002316133786,0.8556355276136313,0.36792107694615983
26,26,1iCU2QmW,5,small spycatcher,2.0,0.7822034275526546,0.9335446836744463,-0.5918465032929675,-0.11843064919254946,-0.10656535345821551
352,352,1iCU2QmW,5,ball,1.0,0.8286391679714016,0.9348131704271317,-1.1782002316133786,0.25563027197151916,-0.09251132077888252
322,322,1iCU2QmW,5,use water stop,3.0,0.851401922875882,0.9290055029564056,-0.005492774972556549,0.4389945726377435,-0.15685661114276667
99,99,1iCU2QmW,5,roll foot mini foot massage,5.0,0.7607350862059477,0.8822087701396913,1.1672146816682654,-0.2913678623735373,-0.6753348773917287
327,327,2CLBZyT3,3,juggle marble,2.0,0.2983309008139171,0.9593251457260727,-0.5918465032929675,-4.016243011947625,0.17906589605607356
175,175,2CLBZyT3,3,muscle relaxed,2.0,0.9336925095429551,0.9841764892112735,-0.5918465032929675,1.1018825200298743,0.4544030982199453
367,367,2CLBZyT3,3,bind marbles flat plane creating tool moving large heavy objects,10.0,0.7294295037452045,0.9411785037615846,4.09898332327032,-0.5435485082993563,-0.021987444587143332
252,252,2CLBZyT3,3,lay outdoors garden decor,4.0,0.6567321122217726,0.9842155094470424,0.5808609533478545,-1.1291589237736719,0.4548354178066416
309,309,2CLBZyT3,3,standing incentive pocket uncomfortable,4.0,0.8852641043628837,0.9011010709909387,0.5808609533478545,0.7117697816777833,-0.46602010686762085
53,53,2l6NOT6p,5,baseball durable baseball bat,4.0,0.8983244032961296,0.9797778064245195,0.5808609533478545,0.8169764049725364,0.40566846894597974
2,2,2l6NOT6p,5,cool use cold pack eyes,5.0,0.8671025501815954,0.7527612940001102,1.1672146816682654,0.5654702368538751,-2.1095312188761155
83,83,2l6NOT6p,5,necklace marbles,2.0,0.5624431116117217,0.8349964234090815,-0.5918465032929675,-1.8886995299054952,-1.1984178835132262
315,315,2l6NOT6p,5,string use doorway like,4.0,0.7772505067338067,0.9159359329009535,0.5808609533478545,-0.15832866970958578,-0.3016591991676697
215,215,2l6NOT6p,5,glue vase decor,3.0,0.5851331652470513,0.9490158190915297,-0.005492774972556549,-1.70592087089079,0.06484506314863109
3,3,2l6NOT6p,5,fire scrape black color,4.0,0.7034398794584203,0.9108237002936374,0.5808609533478545,-0.7529067033825925,-0.3582995101330542
113,113,3U6xOhXV,1,nose plug,2.0,0.9173498015353061,0.9886853497558544,-0.5918465032929675,0.9702346049427145,0.5043584275175855
270,270,3U6xOhXV,1,play,1.0,0.9403966544617621,0.9907079374840623,-1.1782002316133786,1.1558874438521707,0.5267674230935134
176,176,48DSufSQ,2,stretching,1.0,0.9159852105092763,0.9865448105552937,-1.1782002316133786,0.9592422061652663,0.48064260406701664
211,211,48DSufSQ,2,hold sunbeam fire,3.0,0.822089868078276,0.9782628544441406,-0.005492774972556549,0.20287269496488125,0.3888837570877039
133,133,48DSufSQ,2,use weapon,2.0,0.9198873214320349,1.0031933753558646,-0.5918465032929675,0.9906754770270825,0.6650981951686766
373,373,5CJmQcoS,4,cat toy,2.0,0.8621538331736076,0.9126354605787188,-0.5918465032929675,0.5256060799373443,-0.338226349574028
