,ID,z_elaboration,z_flexibility,z_originality,fluency,z_fluency,creativity_score
0,3JALGThx,0.486136982015835,-0.4162075588702919,0.0021310619545974025,4.0,-0.5075547244261895,-0.10887355983151227
1,4ivPm3Ot,-0.05668735125979714,0.3557696821552526,-0.1216941351875556,9.0,1.7630848322172907,0.4851182569812976
2,7i5oUdpb,0.3843574195266538,-0.5520432097701399,-0.6964625231413131,8.0,1.3089569208885947,0.1112021518759489
3,8341gMzz,-0.2941729970678861,0.6030079916057474,-0.07528121766323488,3.0,-0.9616826357548856,-0.18203221472006478
4,8SulpUFW,0.21472481537801894,0.18291749426443868,-0.34852429851320965,4.0,-0.5075547244261895,-0.1146091783242354
5,8vjxU3li,-0.09844306920407647,-0.6064666674611552,0.18513619372578993,11.0,2.6713406548746828,0.5378917779838103
6,8XFfLUrd,-0.3507171984507644,-0.30070920981367344,0.3737138334210455,5.0,-0.05342681309749347,-0.08278484698522146
7,a3O7LUxg,-0.2093566949935686,0.04367536167466024,0.45919702844285926,7.0,0.8548290095598987,0.28708617617096244
8,AOqI6isn,0.10163641261226226,0.13537366562539344,0.5883697899879824,5.0,-0.05342681309749347,0.19298826378203618
9,BFJVCx5x,-0.05668735125979709,0.5045443308961515,0.29469948281087444,4.0,-0.5075547244261895,0.058750434505259824
10,bnvwtbLQ,0.29954111745233647,0.44053017110861914,0.17877627317005354,7.0,0.8548290095598987,0.443419142822727
11,dAw8I6QL,-0.32809951789761305,0.3313673914565507,-0.19454081591868658,4.0,-0.5075547244261895,-0.1747069166964846
12,DGsLkZMG,-0.23762879568500772,0.16480481848775116,0.02270155151159702,5.0,-0.05342681309749347,-0.02588730969578825
13,DtX7BDmn,0.011165690399656869,-0.4889842575649582,-0.030628384271934123,9.0,1.7630848322172907,0.31365947019501383
14,fXt6vbKa,0.21472481537801894,0.6271214123320155,-0.463910730127729,7.0,0.8548290095598987,0.30819112678555105
15,gTvYcIjH,-0.01145199015349437,0.6762304487991431,-0.14347856635796805,5.0,-0.05342681309749347,0.11696826979754678
16,hNMu9RSE,0.4861369820158349,0.047320921482748295,0.15544323454255335,4.0,-0.5075547244261895,0.04533660340373674
17,ieEtPuLP,-0.2941729970678861,0.2543950152257716,-0.865381103398949,7.0,0.8548290095598987,-0.012582518920291191
18,inJfUF1A,0.8932552319725588,-0.07623618722459542,0.1428120479801587,3.0,-0.9616826357548856,-0.00046288575669087284
19,jT0FGhyh,-0.039724090844933585,-0.07845704892449057,0.04723439496612157,7.0,0.8548290095598987,0.19597056618914904
20,kiA4dIKm,0.6024564820034702,-0.09120107103190069,-0.4073586426580342,6.0,0.4007010982312026,0.12614946663618448
21,kPEmVDSW,0.21472481537801888,0.08347977378726597,0.21323203882685102,4.0,-0.5075547244261895,0.0009704758914865774
22,L5mX7ray,0.3504308986969269,0.22715337871258284,0.14521557157441128,4.0,-0.5075547244261895,0.05381128113943284
23,m6KNrYOy,0.07901873205911089,-0.32841252045268793,-0.2151069807356189,4.0,-0.5075547244261895,-0.24301387338884636
24,MWkWuW3u,-0.23762879568500775,0.389039740591683,-0.07457454797939364,5.0,-0.05342681309749347,0.005852395957447036
25,NEHDYmro,-0.294172997067886,-0.1414763217722422,0.40068691745884727,7.0,0.8548290095598987,0.20496665204465442
26,O9FeIQhN,0.2147248153780189,-0.36259673376349993,-0.4855553794276415,5.0,-0.05342681309749347,-0.171713527727654
27,Ondj7mVH,-0.12454039291925109,-0.18608526641087064,0.2752982184834142,3.0,-0.9616826357548856,-0.24925251915039828
28,Ot28FUYH,-0.4638056012165211,0.348918835159576,0.15190816770626447,5.0,-0.05342681309749347,-0.004101352862043521
29,OuzOcDkX,-0.294172997067886,-0.05444853459852983,0.07862533578429182,3.0,-0.9616826357548856,-0.3079197079092524
30,Q9sGDcdr,-0.735217767854337,0.30927426441626354,0.3027036824804217,4.0,-0.5075547244261895,-0.15769863634596032
31,qgPJerbc,0.6670784264410455,0.3394967519165644,-0.07186874728949556,5.0,-0.05342681309749347,0.22031990449265526
32,qMcwUIGM,-0.32809951789761305,0.3264973540803736,0.3244827027838402,3.0,-0.9616826357548856,-0.1597005241970712
33,QpnPVP2Q,-0.12454039291925108,0.055410968567640495,0.3225252963544261,7.0,0.8548290095598987,0.27705622039067856
34,qyV1HDmQ,0.2147248153780189,-0.2233894117989678,0.4508744955639593,1.0,-1.8699384584122778,-0.35693213981731686
35,R3IPuMaE,-0.19239343457870509,0.4319044595446207,-0.844605041088851,4.0,-0.5075547244261895,-0.27816218513728125
36,rt1cQJHC,-1.142336017811061,-0.27201201513559053,0.4981295243465408,0.0,-2.324066369740974,-0.8100712195852712
37,SG89f5RZ,0.06394027835701001,-0.47613754211862236,-0.39584008752685146,8.0,1.3089569208885947,0.12522989240003274
38,ShSCD4SA,-0.12454039291925106,0.3860686508425053,-0.1318432696467862,3.0,-0.9616826357548856,-0.20799941186960438
39,tLD4uJLr,0.045092211229383894,0.07034883260374317,0.23621432418653138,3.0,-0.9616826357548856,-0.15250681693380677
40,upWtM3XV,0.2995411174523364,-0.7213853156693988,0.5590701220641632,7.0,0.8548290095598987,0.24801373335174987
41,vUbFxArB,0.6670784264410455,-0.155566927737787,0.050088022377456444,2.0,-1.4158105470835816,-0.21355275650071665
42,vWWuV7Rl,-0.32809951789761305,0.8173986386240045,-0.08504992692807933,4.0,-0.5075547244261895,-0.02582638265696935
43,WjInz2pD,-0.46380560121652104,0.11656059908961543,-0.8203277914042524,7.0,0.8548290095598987,-0.07818594599281481
44,X4xdkpC1,0.07901873205911095,-0.6496218479280086,-0.252767652580033,3.0,-0.9616826357548856,-0.44626335105095405
45,xgoSH35r,-0.5607385178728838,-1.0467392088316145,0.4046126087135024,6.0,0.4007010982312026,-0.20054100493994828
46,XVKZEeYJ,0.07901873205911092,0.32244706302076603,-0.5003024296380372,4.0,-0.5075547244261895,-0.15159783974608743
47,Y4UsUD3D,0.33809398203157165,-0.027182106274364296,0.1257087848267329,9.0,1.7630848322172907,0.5499263732003077
48,YEdpkYEK,-0.3280995178976131,0.5409993508771113,-0.07411429077542428,3.0,-0.9616826357548856,-0.2057242733877029
49,ykbFpiv8,-0.07607393459106968,-0.028755981136000672,0.4871127023416516,6.0,0.4007010982312026,0.19574597121144596
50,zGttpJxf,0.13933254686751445,-0.24123538284713528,0.5772921063975928,8.0,1.3089569208885947,0.4460865478266417
