,ID,z_elaboration,z_flexibility,z_originality,fluency,z_fluency,creativity_score
0,12whIALS,-0.05472393560711834,-0.0855435642655932,-0.5594696947074118,4.0,-0.35379010109145514,-0.26338182391789466
1,8LR6AAoU,-0.005330253468225701,-0.1904537746538446,-0.3862121485218697,5.0,0.07319795194995637,-0.1271995561734959
2,96xjiTAF,-0.12881445881545728,-0.09480911307219836,-0.20453641643074624,7.0,0.9271740580327794,0.12475351742859439
3,9BdrkwdF,0.5380002500595935,0.5441832074851729,0.289213325301649,4.0,-0.35379010109145514,0.25440167043874007
4,9hYeAXox,0.029950948059554807,-0.11595241259156616,-0.0540314235481047,6.0,0.5001860049913679,0.09003827922781296
5,9jRf1WFh,-0.181736261107128,-0.08469402057005355,-0.3185015747388282,6.0,0.5001860049913679,-0.021186462856160465
6,9kqoCcV2,-0.40665392084672847,-0.28394668488179176,-0.1805251783135856,7.0,0.9271740580327794,0.014012068497668395
7,9qlziAVU,-0.3140407668363047,0.1881672973199648,0.26419157309238883,3.0,-0.7807781541328667,-0.16061501263920444
8,az1GqRPg,-0.252298664162689,-0.123790763813997,0.13509132529558351,2.0,-1.207766207174278,-0.36219107746384516
9,bKR3zET6,-0.49926707485715216,0.21887288481772554,0.11411085237259042,3.0,-0.7807781541328667,-0.23676537294992572
10,BqqzF1oY,-0.4992670748571522,0.59454279161959,0.1083131399257629,2.0,-1.207766207174278,-0.25104433762151934
11,bT2HdRH4,-0.0053302534682256935,-0.6774540841430365,0.10031740665845774,8.0,1.3541621110741908,0.1929237950303466
12,C2l3rPFQ,1.5382223133721695,-0.04546418794508547,0.10599922518593918,2.0,-1.207766207174278,0.0977477858596863
13,CaEoe8la,0.3239609607910586,-0.24525909140040966,-0.005292544137179056,7.0,0.9271740580327794,0.25014584582156235
14,CeEShVk3,-0.4992670748571521,-0.3931574087800897,-0.13327127040160064,12.0,3.062114323239837,0.5091046423002485
15,CSdAI2qj,-0.28757986569046945,-0.18052619277120138,0.1037117005600923,5.0,0.07319795194995637,-0.07279910148790555
16,eaQpbKjZ,-0.05472393560711834,0.4261857950915798,0.3123130771149834,4.0,-0.35379010109145514,0.0824962088769974
17,ebhITDOk,-0.3934234702738108,0.6015956960907515,-0.6709943342895511,6.0,0.5001860049913679,0.009340974129689358
18,EkNxNrOF,-0.2769955052321353,-0.21257508839421405,0.051462248898294725,9.0,1.7811501641156025,0.33576045484688694
19,FEq2hZ14,0.02995094805955479,-0.08046084145533802,0.044199958898000345,6.0,0.5001860049913679,0.12346901762339625
20,FLzCE0o7,-0.005330253468225655,0.4716312615429772,0.18129399256291093,5.0,0.07319795194995637,0.18019823814690472
21,G37QKYSF,0.6120907732679325,0.15617389229684792,0.23540505226835629,3.0,-0.7807781541328667,0.05572289092506755
22,gMCWgT8Z,-0.16997586059786787,0.3470028588042459,-0.047521249861961,8.0,1.3541621110741908,0.370916964854652
23,hLPZwHYu,0.02995094805955479,0.8216224439567165,0.5573176684453739,4.0,-0.35379010109145514,0.26377523984254747
24,hppL2mMe,0.5380002500595935,-0.3636089453760643,-0.17187680983162298,4.0,-0.35379010109145514,-0.08781890155988722
25,Id87TDYK,-0.49926707485715216,-0.30200704195795963,0.26937557652124533,2.0,-1.207766207174278,-0.43491618686703615
26,ir6U8XNz,0.3651223625734692,0.21722608188706413,0.48650087641698175,5.0,0.07319795194995637,0.2855118182068679
27,J3ckyDxF,0.05641184920539013,0.16978859230338408,-0.386500049151872,3.0,-0.7807781541328667,-0.23526944044399112
28,JcBql1hI,0.2416381572262376,0.13042127333526998,0.19300742737841994,5.0,0.07319795194995637,0.15956620247247097
29,jDbfJBEH,0.24163815722623755,-0.12120885284775393,0.0565784509529923,10.0,2.2081382171570136,0.5962864931221223
30,jnru1wZU,-0.036201304805033585,-0.17636322283084568,-0.1727806438052581,6.0,0.5001860049913679,0.02871020838755764
31,JtPusmu5,0.6650125755596032,-0.08195114391122779,0.015664927722755757,6.0,0.5001860049913679,0.2747280910906248
32,kz1hUsKh,0.2416381572262376,0.19463231410124807,-1.253699301215408,1.0,-1.6347542602156897,-0.6130457725259031
33,L4fZtMw7,-0.49926707485715216,-0.7729251392581632,0.10903125479387561,4.0,-0.35379010109145514,-0.3792377651032237
34,Ml4ZDbrf,-0.49926707485715216,-1.0852905119938023,0.12315759073974153,2.0,-1.207766207174278,-0.6672915508213728
35,NDPEOPns,0.8899302352992037,-0.46026541480088556,-0.9735674570001024,7.0,0.9271740580327794,0.09581785538274878
36,nPRqy4yx,-0.09513694826621232,0.3572758693227152,0.19189080361660116,9.0,1.7811501641156025,0.5587949721971767
37,nQFDDyqc,0.48860656792070084,-0.028257289657473945,0.6242309980496739,2.0,-1.207766207174278,-0.030796482715344298
38,OfWwwaJK,-1.240172306940542,-0.26099051474708457,0.3990718007646795,3.0,-0.7807781541328667,-0.47071729376395344
39,oFykDniP,0.5110582416201974,0.03279419429378945,0.40225079534222136,10.0,2.2081382171570136,0.7885603621033055
40,OnckAn4W,-0.49926707485715216,-0.03839830256028093,-0.19365185795352713,3.0,-0.7807781541328667,-0.37802384737595673
41,PLm22YPk,-0.4992670748571522,0.0516516097341132,-0.2856259321949031,1.0,-1.6347542602156897,-0.5919989143834079
42,QF2kLIUY,0.6861812964762714,0.31992290795693085,0.00892212151421925,4.0,-0.35379010109145514,0.16530905621399158
43,qtUAE5ea,0.05641184920539016,-0.2638874330816089,0.5358291339118968,3.0,-0.7807781541328667,-0.11310615102429715
44,qV9G4I4k,-0.05472393560711834,-0.444095908234325,-0.05318745660043163,4.0,-0.35379010109145514,-0.22644935038333253
45,RkfBjkji,0.24163815722623758,0.5262322112135428,0.1848310249152918,5.0,0.07319795194995637,0.2564748363262571
46,ROxyQzHz,0.48860656792070084,-1.2169296335991506,-0.14836588803110465,5.0,0.07319795194995637,-0.20087275043989952
47,RQtMKEGy,-0.2875798656904694,0.6728756898583512,0.09254690420784624,6.0,0.5001860049913679,0.244507183341774
48,S6FExM1S,0.7355749786151641,-0.42140532300879413,0.10757528991337025,2.0,-1.207766207174278,-0.19650531541363447
49,t46tmmzx,0.2416381572262376,0.6059303881781734,-0.010923535234610685,2.0,-1.207766207174278,-0.09278029925111944
50,TE3wefup,-0.12881445881545728,-0.5044212032278649,0.2299066937032733,5.0,0.07319795194995637,-0.08253275409752311
51,tITZCo2h,-0.3140407668363048,0.3470303602820166,0.12766799514611132,3.0,-0.7807781541328667,-0.1550301413852609
52,UB9XuKNu,-0.16997586059786787,0.15087920795303272,0.16335208662399706,8.0,1.3541621110741908,0.3746043862633382
53,uEUM3cWM,-0.05472393560711834,0.3319444787823109,0.020576296704010556,4.0,-0.35379010109145514,-0.013998315303063003
54,uwCY1lAc,-0.27699550523213523,0.3298467167393159,0.05695501617687158,9.0,1.7811501641156025,0.4727390979499137
55,vocKrgSu,-0.6844933828779995,0.54524935130183,0.2166402413253007,3.0,-0.7807781541328667,-0.17584548609593387
56,Vw0tjA8q,-0.35108602844047426,0.12422574059156385,-0.07459489571845537,4.0,-0.35379010109145514,-0.16381132116470523
57,W1GEAUHp,0.2416381572262376,-0.7113225980481791,0.4750912938480513,2.0,-1.207766207174278,-0.3005898385370421
58,w5vqsdWC,1.2295118000040905,-0.4231069998795112,0.1270840537247332,2.0,-1.207766207174278,-0.06856933833124138
59,WvABxuDh,0.6861812964762715,-0.33088154231458305,0.4415017579569181,4.0,-0.35379010109145514,0.11075285275678784
60,wVzGdKrH,-0.37578286950992057,-0.031831616788704574,-0.030589693375982874,5.0,0.07319795194995637,-0.09125155693116291
61,x5tXRsRw,-0.2522986641626889,0.16970394211126597,-0.3717110389965696,5.0,0.07319795194995637,-0.09527695227450905
62,XM1yDGVK,-0.943810214107186,0.7850611275981855,-0.5620567337304007,4.0,-0.35379010109145514,-0.2686489803327141
63,xMmoOPqz,-0.02778192716772233,0.1691726939742912,-0.5531486655202459,9.0,1.7811501641156025,0.3423480663504814
64,XR3Ga8Un,0.38981920364291545,-0.12194471153298858,0.4211835856874866,4.0,-0.35379010109145514,0.08381699417648958
65,YblO36lu,-0.37578286950992057,-0.11287351908549274,0.16199314053571118,5.0,0.07319795194995637,-0.06336632402743644
66,zE5cCMat,-0.1288144588154573,0.06695264478408763,0.21143522446561738,6.0,0.5001860049913679,0.16243985385640392
67,zjoaAMg1,0.5380002500595935,0.48864743575354036,0.2629114287483335,4.0,-0.35379010109145514,0.2339422533675031
68,ZPhb8EKl,-0.37578286950992057,0.018015380045687496,-1.0601638812053784,5.0,0.07319795194995637,-0.3361833546799138
69,ZYMCtdd2,0.4886065679207008,-0.14888411719944014,0.6271322839772476,5.0,0.07319795194995637,0.2600131716621161
