ID,Alternative Uses
12whIALS,fish tank ornament / cat toy / water drainage in planter / make drone sound rolling on tile surface to record electronic track / check level of counter or shelf /
8LR6AAoU,sun catcher / lamp finial / glue underneath a potted plant to lift it off the floor / ball bearing for a large machine / dolls eyes / weight /
96xjiTAF,use as a bearing / sand down to a lens / use as a wheel underneath an object / you can play marbles with it / you can roll it back and forth like a ball / paint is as the earth and it would be a small globe / crushed into broken glass and used as an abrasive cleaner / use as a level /
9BdrkwdF,build a table centrepiece / make jewelry / use in the bottom of a fish tank / create a marble train / use as a reward system for young children /
9hYeAXox,drill a hole and make a necklace / use it to shape dough for some bread / bounce it to play and distract yourself / as decoration / roll it under your palm as stress release / knock it on a window to get the attention of someone / toss it back and forth to make a game with someone /
9jRf1WFh,In a terrarium / Glue them together to make a mat / Make chimes / Wheels for a play car / paper weight / glue together to make a planter / to make a fake grapes /
9kqoCcV2,play a game / clean out a pipe / foot massager / cat toy / paint brush / fidget / race theme / science experiment /
9qlziAVU,Fill up glass jars for decorations / poker chips / things to put in shoes to make you taller / crystal ball /
az1GqRPg,Assemble into colourful coasters / Make a circle of them for a candle holder / Use to create jewelry /
bKR3zET6,Drill a hole through it and use it as a necklace / Melt it and create a piece of art / Put eyes on it and create a unique face / Drill a hole and put a spy camera into it /
BqqzF1oY,for decorating / for blocking a pipe / use to press against body massage it /
bT2HdRH4,slingshot ammunition / fishing weight / put in aquarium / eyeballs for statues / nose plugs / put in a can and rattle / booby trap for burglars / let mice play with them / prank lawbreakers /
C2l3rPFQ,make it as pebbles and then put it in a clear jar / as necklace / as bracelet / as picture frame design /
CaEoe8la,play a game / trip someone / decoration / massage your hands / use as jewelry / play with a cat with it / put in paint and then roll around and make art / earplugs / use as a mark /
CeEShVk3,paperweight / toy / wind chime / art decoration / in a bottle to decorate / as a looking glass / to test the height and depth of something / to bounce across the water / as the eyes of a snowman / as part of a shaker / fashion into a musical instrument / use as a weapon / as use as stress relief /
CSdAI2qj,play ball with a tiny animal / use to grind herbs / break into small pieces and use to cut things / cover with paint and roll to make paintings / play hide and seek with it hide it for others to find / use to weigh down small objects / use it to decorate a fish tank /
eaQpbKjZ,decorations / an eye / a wheel / game / fix something /
ebhITDOk,in a fish tank / play a game / as a decoration / in a sling shot / make jewelry / check for a level surface / paper weight /
EkNxNrOF,Drink shaker / Noise maker / play / Art piece / Paint mixer / weapon / slingshot / bullet / Paper weight / Water valve /
FEq2hZ14,fishing weight / Christmas decoration / slingshot ball / frame decoration / garden mulch / fish tank bed / stress relieved /
FLzCE0o7,play game / plug a hole / use as eyeball in a craft project / throw at someone / check if a floor is level / massage someone with it /
G37QKYSF,Use marbles to count other objects / Use them in houseplant pots to add some color / Use them as playing pieces in homemade games / Shoot them from a toy gun /
