ID,Alternative Uses
12whIALS,paper machine core / slow volleyball game inside / cat toy / party marker on mailbox / portraiture surface / dart target / lung exercise / make fart sounds letting out the air slowly /
8LR6AAoU,pop to startle someone as a prank / fill with water and freeze unwrap and use frozen ice block in punch bowl or cooler / place matches inside while camping to protect from moisture / place around campsite to ward off animals  popping sound startles / tape several together top with a blanket and sleep on top / packing material for shipping breakable /
96xjiTAF,a balloon can be chewed like bubble gum / can be used to store small amounts of items / can be used as a wedge when inflatediflat / can be used as a cushion / can be filled with water and thrown / can be filled with air and decorated /
9BdrkwdF,make a vase / make water gallons / freeze water balloons / make a stress ball /
9hYeAXox,rub it to create some electricity and play a prank on someone / bounce it with a friend to play / pop it and scare a mean person / deflate it to use the rubber to cover a container / deflate it and cut it into rings to hold your hair into ponytail / play and bounce it with your cat /
9jRf1WFh,use to make a bean bag / use for a parachute / use to make stuffed animals / use to make a seat cushion /
9kqoCcV2,drinking vessel / paint / freeze and hold drinks / musical instrument / race them / crafts /
9qlziAVU,carry messages afar / life vest / scuba breathing gear / gloves / headband / sling / socks /
az1GqRPg,use as a bumper behind a door / rub on carpet and stick to things / put inside gift box / roll onto fingers inflated /
bKR3zET6,Stick it to a wall and throw a dart at it / Draw a face on it / Pop it to startle someone / Tie a note to it and let it float away / Play catch with another person / Put it between your knees and try to pop it /
BqqzF1oY,use as water storage / send letter hanging from it /
bT2HdRH4,slingshot / hair tie / rubber band / smuggling illicit substances really / waterproof phone case / waterproof maggie / play slow volleyball / demonstrate static electricity / calorie free gum /
C2l3rPFQ,bed headboard / put water in it and then water the plants /
CaEoe8la,toy / if deflated it could be used to wipe something / a noise maker / a stool/seat / fill up a box you'se shipping / paint for art / scare someone / dog toy / display it /
CeEShVk3,to make animals / to create static electricity / to hang from a house / to fill with water / fill with paint for art / make little worms with it not blown up / to send a message / to test how cold it is outside / to power a battery / to use as a hat / to wear as an accessory /
CSdAI2qj,use to inhale gases like helium / inflate and hide a note inside / put cash inside inflated and give as a gift / throw up in the air to attract attention before taking a photo / open the mouthpiece and use to hold numerous paper scrolls / put pencils inside and use it to carry them /
eaQpbKjZ,parties / decoration / memorial / leak fixture / car fixer / tire fixer /
ebhITDOk,carry water / condom / make a stress ball / make a hair tie / cover a bandage / finger condom / make shoe covers / make a phone cover / cover a dish /
EkNxNrOF,Floatation device / party / noise / Plaster art / lamp / Photography flash softner / Magic trick / Birthday party / Static charge object / Science experiment / Store air / Night lamp /
FEq2hZ14,barrel cover / prophylactic / car finder / party favor / water game / weather indicator / dart target / message delivery / pressure indicator / carnival toy /
